solver,length_m,rho_ohm_m,frequency_hz,z_real_ohm,z_imag_ohm,z_magnitude_ohm,z_phase_deg
mHEM,3,100,4.2169650342858222e+04,3.0200642499239390e+01,-3.5366243704934353e-01,3.0202713197430526e+01,-6.7092740910232651e-01
mHEM,3,100,5.6234132519034909e+04,3.0106647473835334e+01,-3.5983622360455214e-01,3.0108797787716689e+01,-6.8476954474639729e-01
mHEM,3,100,7.4989420933245579e+04,2.9999722984606827e+01,-3.5136862226968624e-01,3.0001780598188883e+01,-6.7104015019055918e-01
mHEM,3,100,1.0000000000000000e+05,2.9878754172978311e+01,-3.2111925596005275e-01,2.9880479723488666e+01,-6.1575759265343644e-01
mHEM,3,100,1.3335214321633239e+05,2.9742939811854750e+01,-2.5939670401854786e-01,2.9744070926853137e+01,-4.9968024872932099e-01
mHEM,3,100,1.7782794100389228e+05,2.9592107625999216e+01,-1.5318078251522182e-01,2.9592504086353571e+01,-2.9658360474005613e-01
mHEM,3,100,2.3713737056616554e+05,2.9427224439792980e+01,1.4847960193449805e-02,2.9427228185676462e+01,2.8909467252310719e-02
mHEM,3,100,3.1622776601683791e+05,2.9251210886129851e+01,2.6749468622026229e-01,2.9252433945092459e+01,5.2394033929861172e-01
mHEM,3,100,4.2169650342858228e+05,2.9070230970666536e+01,6.3446000047242845e-01,2.9077153715246947e+01,1.2502862500302074e+00
mHEM,3,100,5.6234132519034913e+05,2.8895721993559441e+01,1.1539457727904314e+00,2.8918754129035637e+01,2.2868820857393795e+00
mHEM,3,100,7.4989420933245588e+05,2.8747583516405378e+01,1.8743610069985017e+00,2.8808623487026566e+01,3.7304416080677734e+00
mHEM,3,100,1.0000000000000000e+06,2.8659200277695497e+01,2.8558966707213038e+00,2.8801144184752431e+01,5.6907520526772322e+00
