solver,length_m,rho_ohm_m,frequency_hz,z_real_ohm,z_imag_ohm,z_magnitude_ohm,z_phase_deg
mHEM,10,30,1.2589254117941675e+03,4.2358469310663969e+00,-1.5486529199744282e-02,4.2358752408458944e+00,-2.0947612683137770e-01
mHEM,10,30,1.2956866975170190e+03,4.2349896133870484e+00,-1.5044651412854996e-02,4.2350163360998163e+00,-2.0354038210089148e-01
mHEM,10,30,1.3335214321633241e+03,4.2341209414361867e+00,-1.4577174528546904e-02,4.2341460344118618e+00,-1.9725635838735148e-01
mHEM,10,30,1.3724609610075624e+03,4.2332408026373374e+00,-1.4083178960801388e-02,4.2332642285880588e+00,-1.9061134893259263e-01
mHEM,10,30,1.4125375446227540e+03,4.2323490853396981e+00,-1.3561716584965505e-02,4.2323708131888100e+00,-1.8359224351003828e-01
mHEM,10,30,1.4537843856076622e+03,4.2314456789802861e+00,-1.3011809202497910e-02,4.2314656847645189e+00,-1.7618550676825798e-01
mHEM,10,30,1.4962356560944329e+03,4.2305304742053966e+00,-1.2432448542485871e-02,4.2305487420614005e+00,-1.6837717734174862e-01
mHEM,10,30,1.5399265260594921e+03,4.2296033630536263e+00,-1.1822594751864521e-02,4.2296198862901635e+00,-1.6015284646555930e-01
mHEM,10,30,1.5848931924611140e+03,4.2286642391146776e+00,-1.1181175689155134e-02,4.2286790213797394e+00,-1.5149764743004993e-01
mHEM,10,30,1.6311729092278381e+03,4.2277129977040229e+00,-1.0507086188852011e-02,4.2277260542537185e+00,-1.4239624460302469e-01
mHEM,10,30,1.6788040181225606e+03,4.2267495360654896e+00,-9.7991866468997001e-03,4.2267608951404823e+00,-1.3283281321319315e-01
mHEM,10,30,1.7278259805078626e+03,4.2257737535653277e+00,-9.0563023171812938e-03,4.2257834578848525e+00,-1.2279102872676391e-01
mHEM,10,30,1.7782794100389228e+03,4.2247855519014825e+00,-8.2772223150108098e-03,4.2247936602826845e+00,-1.1225405221552984e-01
mHEM,10,30,1.8302061063110568e+03,4.2237848353329985e+00,-7.4606985436420767e-03,4.2237914244446024e+00,-1.0120451464028828e-01
mHEM,10,30,1.8836490894898002e+03,4.2227715109181680e+00,-6.6054444252547266e-03,4.2227766771779631e+00,-8.9624498440063718e-02
mHEM,10,30,1.9386526359522077e+03,4.2217454887618997e+00,-5.7101341521014282e-03,4.2217493503894197e+00,-7.7495526135795981e-02
mHEM,10,30,1.9952623149688789e+03,4.2207066822839785e+00,-4.7734013523726112e-03,4.2207093815183603e+00,-6.4798540954448508e-02
mHEM,10,30,2.0535250264571459e+03,4.2196550085074644e+00,-3.7938376260990316e-03,4.2196567140024630e+00,-5.1513885643266526e-02
mHEM,10,30,2.1134890398366479e+03,4.2185903883375619e+00,-2.7699921930068984e-03,4.2185912977474853e+00,-3.7621296339519480e-02
mHEM,10,30,2.1752040340195222e+03,4.2175127468966949e+00,-1.7003696948085650e-03,4.2175130896647142e+00,-2.3099871344210276e-02
mHEM,10,30,2.2387211385683399e+03,4.2164220138441033e+00,-5.8342962460932336e-04,4.2164220542089108e+00,-7.9280619468156035e-03
mHEM,10,30,2.3040929760558447e+03,4.2153181237248614e+00,5.8241528401633321e-04,4.2153181639599699e+00,7.9163509149858050e-03
mHEM,10,30,2.3713737056616551e+03,4.2142010163507875e+00,1.7988003014113305e-03,4.2142014002530228e+00,2.4456275056324521e-02
mHEM,10,30,2.4406190680419813e+03,4.2130706371781823e+00,3.0674100377097394e-03,4.2130717538225380e+00,4.1715326724363525e-02
mHEM,10,30,2.5118864315095798e+03,4.2119269377274389e+00,4.3899798690529412e-03,4.2119292255066787e+00,5.9717851539704242e-02
mHEM,10,30,2.5852348395621912e+03,4.2107698760186691e+00,5.7682973139613989e-03,4.2107738269871700e+00,7.8488944791469312e-02
mHEM,10,30,2.6607250597988086e+03,4.2095994170229627e+00,7.2042034719481309e-03,4.2096055815655378e+00,9.8054472606819432e-02
mHEM,10,30,2.7384196342643613e+03,4.2084155331611601e+00,8.6995947698394662e-03,4.2084245250094829e+00,1.1844109733351448e-01
mHEM,10,30,2.8183829312644548e+03,4.2072182048054403e+00,1.0256424279656649e-02,4.2072307064249896e+00,1.3967629711451374e-01
mHEM,10,30,2.9006811986931530e+03,4.2060074208137435e+00,1.1876703225320726e-02,4.2060241891862420e+00,1.6178838804574397e-01
mHEM,10,30,2.9853826189179604e+03,4.2047831791163368e+00,1.3562502874514177e-02,4.2048050519452040e+00,1.8480655158999959e-01
mHEM,10,30,3.0725573652674452e+03,4.2035454872921330e+00,1.5315955931840482e-02,4.2035733896579179e+00,2.0876085520554483e-01
mHEM,10,30,3.1622776601683795e+03,4.2022943632255974e+00,1.7139258460963862e-02,4.2023293147227552e+00,2.3368228017574980e-01
mHEM,10,30,3.2546178349804600e+03,4.2010298357551941e+00,1.9034671530528537e-02,4.2010729581412400e+00,2.5960274566749575e-01
mHEM,10,30,3.3496543915782759e+03,4.1997519453825101e+00,2.1004522957825622e-02,4.1998044707734747e+00,2.8655513409931277e-01
mHEM,10,30,3.4474660657314944e+03,4.1984607450159519e+00,2.3051209166824443e-02,4.1985240246643762e+00,3.1457331803824806e-01
mHEM,10,30,3.5481338923357530e+03,4.1971563007492918e+00,2.5177197167420687e-02,4.1972318144435015e+00,3.4369218870966517e-01
mHEM,10,30,3.6517412725483769e+03,4.1958386926889544e+00,2.7385026435860486e-02,4.1959280588135259e+00,3.7394768310372306e-01
mHEM,10,30,3.7583740428844430e+03,4.1945080158098236e+00,2.9677310707317703e-02,4.1946130021092154e+00,4.0537680981139312e-01
